timestamp,event_type,detail,requested_load,measured_force,status
"2026-04-12 22:02:17","startup","DLL loaded successfully",0,-9999,"success"
"2026-04-12 22:02:17","connect","Connected to Deben controller",0,-9997,"success"
"2026-04-12 22:02:26","manual_mode","Target load 1000 N is outside safe range [0, 25] N.",1000,-9997,"rejected"
"2026-04-12 22:02:32","manual_mode","Target load 1000 N is outside safe range [0, 25] N.",1000,-9997,"rejected"
"2026-04-12 22:02:39","manual_mode","Requested jump from 0 N to 10 N exceeds max step delta of 5 N.",10,-9997,"rejected"
"2026-04-12 22:02:50","manual_mode","Manual gotoLoad executed",1,-9997,"success"
"2026-04-12 22:03:01","automatic_mode","Automatic step executed",1,-9997,"success"
"2026-04-12 22:03:01","automatic_mode","Automatic sequence completed",1,-9997,"success"
"2026-04-12 22:03:06","read_force","Read current force",1,-9997,"success"
"2026-04-12 22:03:11","shutdown","Operator exited menu",1,-9997,"success"
timestamp,event_type,detail,requested_load,measured_force,status
"2026-04-12 22:28:49","startup","DLL loaded successfully",0,-9999,"success"
"2026-04-12 22:28:49","connect","Connected to Deben controller",0,-9997,"success"
"2026-04-12 22:29:16","manual_mode","Requested jump from 0 N to 25 N exceeds max step delta of 5 N.",25,-9997,"rejected"
"2026-04-12 22:29:41","manual_mode","Target load 500 N is outside safe range [0, 25] N.",500,-9997,"rejected"
"2026-04-12 22:29:46","manual_mode","Requested jump from 0 N to 25 N exceeds max step delta of 5 N.",25,-9997,"rejected"
"2026-04-12 22:29:56","manual_mode","Manual gotoLoad executed",5,-9997,"success"
"2026-04-12 22:30:01","manual_mode","Manual gotoLoad executed",5,-9997,"success"
"2026-04-12 22:30:08","manual_mode","Manual gotoLoad executed",5,-9997,"success"
"2026-04-12 22:30:14","manual_mode","Manual gotoLoad executed",7,-9997,"success"
"2026-04-12 22:30:18","manual_mode","Manual gotoLoad executed",10,-9997,"success"
"2026-04-12 22:30:20","manual_mode","Requested jump from 10 N to 20 N exceeds max step delta of 5 N.",20,-9997,"rejected"
"2026-04-12 22:30:29","manual_mode","Requested jump from 10 N to 15.1 N exceeds max step delta of 5 N.",15.1,-9997,"rejected"
"2026-04-12 22:30:33","manual_mode","Requested jump from 10 N to 15 N exceeds max step delta of 5 N.",15,-9997,"rejected"
"2026-04-12 22:30:40","manual_mode","Manual gotoLoad executed",15,-9997,"success"
"2026-04-12 22:30:46","manual_mode","Manual gotoLoad executed",20,-9997,"success"
"2026-04-12 22:36:01","shutdown","Operator exited menu",20,-9997,"success"
timestamp,event_type,detail,requested_load,measured_force,status
"2026-04-12 22:36:02","startup","DLL loaded successfully",0,-9999,"success"
"2026-04-12 22:36:02","connect","Connected to Deben controller",0,-9997,"success"
"2026-04-12 22:36:21","automatic_mode","Automatic step executed",0,-9997,"success"
"2026-04-12 22:36:23","automatic_mode","Automatic step executed",3,-9997,"success"
"2026-04-12 22:36:24","automatic_mode","Automatic step executed",6,-9997,"success"
"2026-04-12 22:36:25","automatic_mode","Automatic step executed",9,-9997,"success"
"2026-04-12 22:36:25","automatic_mode","Automatic sequence completed",9,-9997,"success"
"2026-04-12 22:37:07","automatic_mode","Requested jump from 9 N to 0 N exceeds max step delta of 5 N.",0,-9997,"rejected"
"2026-04-12 22:37:15","shutdown","Operator exited menu",9,-9997,"success"
timestamp,event_type,detail,requested_load,measured_force,status
"2026-04-12 22:37:16","startup","DLL loaded successfully",0,-9999,"success"
"2026-04-12 22:37:16","connect","Connected to Deben controller",0,-9997,"success"
"2026-04-12 22:37:22","automatic_mode","Automatic step executed",0,-9997,"success"
"2026-04-12 22:37:23","automatic_mode","Automatic step executed",3,-9997,"success"
"2026-04-12 22:37:23","automatic_mode","Automatic step executed",6,-9997,"success"
"2026-04-12 22:37:24","automatic_mode","Automatic step executed",9,-9997,"success"
"2026-04-12 22:37:24","automatic_mode","Automatic sequence completed",9,-9997,"success"
"2026-04-12 22:38:12","emergency_stop","Operator requested emergency stop",9,-9997,"success"
"2026-04-12 22:38:19","manual_mode","Manual gotoLoad executed",10,-9997,"success"
"2026-04-12 22:38:24","manual_mode","Target load 12346 N is outside safe range [0, 25] N.",12346,-9997,"rejected"
"2026-04-12 22:38:35","read_force","Read current force",10,-9997,"success"
timestamp,event_type,detail,requested_load,measured_force,status
"2026-04-12 22:39:04","startup","DLL loaded successfully",0,-9999,"success"
"2026-04-12 22:39:04","connect","Connected to Deben controller",0,-9997,"success"
"2026-04-12 22:39:13","manual_mode","Requested jump from 0 N to 10 N exceeds max step delta of 5 N.",10,-9997,"rejected"
"2026-04-12 22:39:15","shutdown","Operator exited menu",0,-9997,"success"
timestamp,event_type,detail,requested_load,measured_force,status
"2026-04-12 22:40:19","startup","DLL loaded successfully",0,-9999,"success"
"2026-04-12 22:40:19","connect","Connected to Deben controller",0,-9997,"success"
"2026-04-12 22:40:29","automatic_mode","Automatic step executed",0,-9997,"success"
"2026-04-12 22:40:30","automatic_mode","Automatic step executed",1,-9997,"success"
timestamp,event_type,detail,requested_load,measured_force,status
"2026-04-12 22:43:27","startup","DLL loaded successfully",0,-9999,"success"
"2026-04-12 22:43:28","connect","Connected to Deben controller",0,-9997,"success"
"2026-04-12 22:43:34","automatic_mode","Automatic step executed",0,-9997,"success"
"2026-04-12 22:43:36","automatic_mode","Requested jump from 0 N to 20 N exceeds max step delta of 5 N.",20,-9997,"rejected"
"2026-04-12 22:44:11","automatic_mode","Automatic step executed",0,-9997,"success"
"2026-04-12 22:44:12","automatic_mode","Automatic step executed",1.1,-9997,"success"
"2026-04-12 22:44:13","automatic_mode","Automatic step executed",2.2,-9997,"success"
"2026-04-12 22:44:14","automatic_mode","Automatic step executed",3.3,-9997,"success"
"2026-04-12 22:44:14","automatic_mode","Automatic step executed",4.4,-9997,"success"
"2026-04-12 22:44:15","automatic_mode","Automatic step executed",5.5,-9997,"success"
"2026-04-12 22:44:15","automatic_mode","Automatic step executed",6.6,-9997,"success"
"2026-04-12 22:44:15","automatic_mode","Automatic step executed",7.7,-9997,"success"
"2026-04-12 22:44:16","automatic_mode","Automatic step executed",8.8,-9997,"success"
"2026-04-12 22:44:16","automatic_mode","Automatic step executed",9.9,-9997,"success"
"2026-04-12 22:44:16","automatic_mode","Automatic sequence completed",9.9,-9997,"success"
"2026-04-12 22:44:56","manual_mode","Target load 9999 N is outside safe range [0, 25] N.",9999,-9997,"rejected"
timestamp,event_type,detail,requested_load,measured_force,status
"2026-05-08 12:06:47","startup","DLL loaded successfully",0,-9999,"success"
"2026-05-08 12:06:47","connect","Connected to Deben controller",0,-0.0016,"success"
"2026-05-08 12:07:08","shutdown","Operator exited menu",0,59.66,"success"
